Group,Subjects,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Time_coverage_8,Time_coverage_9,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Duration_8,Duration_9,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7,Occurrence_8,Occurrence_9
2,75,5.33111203665139,9.4960433152853,15.1187005414411,10.9954185755935,9.62099125364431,8.45481049562682,7.16368179925031,16.3681799250312,17.4510620574761,0.0237037037037037,0.0263888888888889,0.0332417582417583,0.0276729559748428,0.0248387096774194,0.023015873015873,0.0249275362318841,0.0329145728643216,0.0310370370370371,90,144,182,159,155,147,115,199,225
2,76,9.2877967513536,10.7871720116618,11.4119117034569,11.7867555185339,9.95418575593503,8.03831736776343,11.0370678883798,15.4518950437318,12.2448979591837,0.0261737089201878,0.0245265151515152,0.0245519713261649,0.0253584229390681,0.0222532588454376,0.0241854636591479,0.0246741154562384,0.0273598820058997,0.0255208333333333,142,176,186,186,179,133,179,226,192
2,77,6.20574760516451,8.95460224906289,12.0783007080383,7.0387338608913,8.99625156184923,13.0362349021241,9.99583506872137,16.7846730528946,16.9096209912536,0.0241100323624596,0.0238888888888889,0.0281007751937985,0.02289972899729,0.0243243243243243,0.0303294573643411,0.0272108843537415,0.0339225589225589,0.0325320512820513,103,150,172,123,148,172,147,198,208
2,78,9.41274468971262,10.7038733860891,13.8692211578509,9.91253644314869,7.28862973760933,11.0370678883798,5.49770928779675,18.7005414410662,13.5776759683465,0.0330409356725146,0.0285555555555556,0.0322674418604651,0.0279342723004695,0.0249287749287749,0.0313238770685579,0.0255813953488372,0.0422787193973635,0.0355119825708061,114,150,172,142,117,141,86,177,153
2,79,7.28862973760933,12.3698458975427,11.9533527696793,12.7030403998334,9.03790087463557,8.03831736776343,10.3290295710121,16.2432319866722,12.036651395252,0.0265151515151515,0.0251269035532995,0.0258558558558559,0.0262027491408935,0.0237938596491228,0.0241854636591479,0.0263269639065818,0.0306603773584906,0.0263205828779599,110,197,185,194,152,133,157,212,183
2,80,7.37192836318201,9.87088713036235,14.2857142857143,9.20449812578092,8.57975843398584,7.28862973760933,11.911703456893,16.0349854227405,15.4518950437318,0.0256521739130435,0.0266891891891892,0.0314102564102564,0.0263095238095238,0.0231981981981982,0.0227864583333333,0.0241962774957699,0.0299844236760125,0.0309166666666667,115,148,182,140,148,128,197,214,200
2,81,7.99666805497709,12.28654727197,13.1195335276968,9.57934194085798,9.91253644314869,9.07955018742191,8.41316118284048,17.4094127446897,12.2032486463973,0.0244274809160305,0.0262923351158645,0.0261194029850746,0.0232323232323233,0.0233333333333333,0.0247165532879819,0.0253132832080201,0.0328616352201258,0.0272811918063315,131,187,201,165,170,147,133,212,179
2,82,9.62099125364431,11.0787172011662,12.3698458975427,8.99625156184923,10.6622240733028,9.70428987921699,10.7038733860891,13.9941690962099,12.8696376509788,0.0267361111111111,0.026078431372549,0.0296407185628743,0.0241610738255034,0.024105461393597,0.0287654320987654,0.026440329218107,0.0301075268817204,0.0272486772486773,144,170,167,149,177,135,162,186,189
2,83,7.62182423990004,9.78758850478967,12.7030403998334,10.5372761349438,10.6205747605165,8.24656393169513,9.70428987921699,16.826322365681,13.9525197834236,0.0279816513761468,0.0238821138211382,0.0282407407407408,0.0263541666666667,0.0244252873563219,0.0232394366197183,0.0262387387387388,0.0291486291486292,0.0273692810457516,109,164,180,160,174,142,148,231,204
2,84,10.079133694294,8.70470637234486,10.9537692628072,10.3706788837984,8.70470637234486,10.6622240733028,11.3702623906706,14.493960849646,14.618908788005,0.0280092592592593,0.0235360360360361,0.02624750499002,0.0248502994011976,0.0229166666666667,0.0253968253968254,0.0248633879781421,0.0281553398058252,0.0282608695652174,144,148,167,167,152,168,183,206,207
2,85,7.66347355268638,10.1207830070804,12.411495210329,8.57975843398584,8.70470637234486,12.411495210329,11.2036651395252,16.4514785506039,12.4531445231154,0.0223844282238443,0.0256329113924051,0.0258680555555556,0.0225877192982456,0.0219077568134172,0.0275925925925926,0.0247697974217311,0.0309076682316119,0.0259548611111111,137,158,192,152,159,180,181,213,192
2,86,6.12244897959184,8.5381091211995,13.1195335276968,10.8288213244481,8.78800499791753,10.2457309454394,7.99666805497709,18.7838400666389,15.5351936693045,0.0263440860215054,0.0230855855855856,0.0294943820224719,0.0262626262626263,0.0225427350427351,0.0254658385093168,0.0253968253968254,0.0337070254110613,0.0289147286821705,93,148,178,165,156,161,126,223,215
2,87,7.12203248646397,8.28821324448147,10.3290295710121,9.82923781757601,7.62182423990004,13.1611828404831,11.3286130778842,17.8259058725531,14.493960849646,0.0229838709677419,0.024937343358396,0.0264957264957265,0.0253763440860215,0.0245967741935484,0.0387254901960784,0.0268244575936884,0.0365811965811966,0.0291457286432161,124,133,156,155,124,136,169,195,199
2,88,7.49687630154102,12.3281965847564,12.7863390254061,9.53769262807164,9.45439400249896,8.45481049562682,8.5381091211995,15.6601416076635,15.7434402332362,0.0256410256410256,0.0271062271062271,0.0332251082251082,0.0240041928721174,0.0240976645435244,0.0250617283950617,0.0258838383838384,0.0328097731239093,0.0301435406698565,117,182,154,159,157,135,132,191,209
2,89,7.91336942940441,9.82923781757601,10.3706788837984,10.8288213244481,8.7463556851312,13.3694294044148,11.5368596418159,13.1195335276968,14.2857142857143,0.0247395833333333,0.0239837398373984,0.0251515151515152,0.0261044176706827,0.0265151515151515,0.0312865497076024,0.0268410852713178,0.02734375,0.0293162393162393,128,164,165,166,132,171,172,192,195
